cityid,station_code,station_name
28,ABKP,Ambikapur
6,AD,Adoni
4,ADB,Adilabad
458,ADH,Andheri
13,ADI,Ahmedabad Junction
5,ADTP,Adityapur
12,AF,Agra Fort
12,AGA,Agra City
12,AGC,Agra Cantt
11,AGTL,Agartala
38,AJE,Anjar
40,AJJ,Arakkonam
18,AKOT,Akot
33,AKP,Anakapalle
39,AKV,Ankleshwar Junction
23,ALD,Allahabad Junction
23,ALY,Allahabad City
55,AMH,Azamgarh
29,AMI,Amravati
32,AMRO,Amroha
325,AMS,Amausi
26,AN,Amalner
140,ANDI,Adrsh Ngr Delhi
34,ANND,Anand Junction
36,ANT,Anantnag
544,ANVR,Anand Vihar
45,APK,Aruppukkottai
44,ASK,Arsikere Junction
50,ASKN,Ashok Nagar
48,ASN,Asansol Junction
31,ASR,Amritsar Junction
35,ATP,Anantapur
53,AWB,Aurangabad
24,AWR,Alwar
110,BAM,Brahmapur
71,BARH,Barh
102,BBS,Bhubaneswar
458,BCT,Mumbai Central
1157,BCY,Varanasi City
458,BDTS,Bandra Terminus
100,BG,Bhongir
87,BGP,Bhagalpur
58,BGZ,Bahadurgarh
90,BH,Bharuch Junction
544,BHD,Badli
96,BHL,Bhilwara
1166,BHS,Vidisha
103,BHUJ,Bhuj
1152,BL,Valsad
62,BLGR,Balangir
65,BLGT,Balurghat
73,BME,Barmer
207,BMT,Begampet
82,BNC,Bangalore Cant
82,BNCE,Bangalore East
74,BNN,Barnala
99,BNW,Bhiwani
67,BPP,Bapatla
66,BQA,Bankura
1148,BRC,Vadodara Junction
70,BRG,Bargarh
60,BRK,Bahraich
1157,BSB,Varanasi Junction
458,BSR,Vasai Road
83,BTH,Bettiah
56,BUG,Bagaha
458,BVI,Borivali
93,BWIP,Bhawanipatna
111,BXR,Buxar
91,BYT,Bhatapara
1170,BZA,Vijayawada Junction
251,CAN,Kannur
131,CBE,Coimbatore Junction
131,CBF,Coimbatore Nrth
113,CBSA,Chaibasa
702,CCH,Chinchvad
116,CDG,Chandigarh
115,CH,Chandausi Junction
996,CHE,Srikakulam Road
128,CHRM,Chirmiri
292,CLT,Kozhikode
126,CLX,Chirala
252,CNB,Kanpur Central
283,CP,Kolkata
252,CPA,Kanpur Anwrganj
122,CPR,Chhapra
458,CSTM,Mumbai Cst
132,CTC,Cuttack
119,CTR,Chatra
148,DBB,Dhubri
151,DBRG,Dibrugarh
151,DBRT,Dibrugarh Town
138,DDN,Dehradun
458,DDR,Dadar
544,DEC,Delhi Cantt
544,DEE,Delhi S Rohilla
141,DGHR,Deoghar
149,DHI,Dhule
143,DHN,Dhanbad Junction
147,DJI,Dhoraji
544,DKZ,Delhi Kishangnj
544,DLI,Delhi
144,DMR,Dharmanagar
152,DMV,Dimapur
146,DNKL,Dhenkanal
153,DPU,Diphu
458,DR,Dadar
458,DRD,Dahanu Road
544,DSA,Delhi Shahdara
544,DSB,Sadar Bazar
544,DSJ,Delhi Safdarjng
154,DUMK,Dumka
155,DURE,Dumraon
156,DURG,Durg
157,EE,Eluru
279,ERN,Ernakulam Town
279,ERS,Eranakulam Junction
160,ETW,Etawah
170,FBG,Forbesganj
161,FDB,Faridabad
162,FDK,Faridkot
166,FKA,Fazilka
165,FTS,Fatehpur Sikri
167,FZD,Firozabad
179,GDA,Godhra Junction
190,GGN,Gurgaon
180,GHNA,Gohana
192,GHY,Guwahati
186,GMIA,Gumia
175,GRD,Giridih
172,GRMP,Gangarampur
189,GSP,Gurdaspur
325,GTNR,Gomati Nagar
171,GWD,Gadwal
193,GWL,Gwalior
182,GY,Gooty
197,HNS,Hansi
198,HPU,Hapur
203,HSR,Hisar
204,HSX,Hoshiarpur
202,HUP,Hindupur
283,HWH,Howrah Junction
207,HYB,Hyderabad Decan
12,IDH,Idgah Agra Junction
210,INDB,Indore Junction Bg
12,JAB,Yamuna Bdg Agra
224,JAM,Jamnagar
223,JAT,Jammu Tawi
212,JBP,Jabalpur
213,JDB,Jagdalpur
231,JGM,Jhargram
215,JGN,Jagraon
229,JHD,Jehanabad
221,JMP,Jamalpur Junction
226,JMU,Jamui
217,JP,Jaipur
220,JPG,Jalpaiguri
218,JRC,Jalandhar Cant
235,JU,Jodhpur Junction
218,JUC,Jalandhar City
1203,JUD,Jagadhri
252,KAP,Kalianpur
261,KAWR,Karwar
207,KCG,Kacheguda
262,KGQ,Kasaragod
255,KIK,Karaikal
82,KJM,Krishnarajapurm
458,KJT,Karjat
702,KK,Khadki
287,KKP,Kot Kapura
242,KLE,Kaithal
273,KMT,Khammam
278,KNE,Kishanganj
274,KNN,Khanna
283,KOAA,Kolkata
245,KPI,Kalpi
263,KPV,Kashipur
286,KRBA,Korba
257,KRMR,Karimnagar
260,KRR,Karur
239,KRY,Kadiri
270,KSD,Keshod
289,KTYM,Kottayam
259,KUN,Karnal
290,KVR,Kovvur
266,KVZ,Kavali
254,KXH,Kapurthala
458,KYN,Kalyan Junction
250,KZE,Kanhangad
309,LAR,Lalitpur
325,LC,Lucknow City
326,LDH,Ludhiana Junction
325,LJN,Lucknow Ne
311,LKA,Lanka
301,LKE,Lakheri
325,LKO,Lucknow Nr
308,LLI,Lalgudi
306,LLJ,Lalganj
316,LM,Limbdi
302,LMP,Lakhimpur
318,LOHA,Loha
323,LONI,Loni
312,LRD,Lar Road
458,LTT,Lokmanyatilak T
314,LUR,Latur
333,MAD,Maddur
347,MAHE,Mahe
120,MAS,Chennai Central
440,MB,Moradabad
464,MBB,Murshidabad
335,MBI,Madhubani
346,MBNR,Mahbubnagar
379,MBY,Mandi Dabwali
385,MDGR,Manendragarh
434,MDNR,Modinagar
363,MET,Malerkotla
452,MEX,Mukerian
349,MHRG,Mahendragarh
454,MKS,Muktsar
365,MKU,Malkapur
374,MLGH,Mandalgarh
368,MLO,Malur
397,MMR,Manmad Junction
435,MOGA,Moga
366,MOT,Malout
441,MRA,Morena
405,MRG,Margherita
432,MRGA,Miryalaguda
463,MRIJ,Murliganj
443,MRSH,Morshi
120,MS,Chennai Egmore
120,MSB,Chennai Beach
350,MSH,Mahesana Junction
345,MSMD,Mahasamund
398,MSZ,Mansa
422,MTC,Meerut City
413,MTJ,Mathura Junction
446,MTR,Motipur
457,MTY,Multai
400,MUGR,Manuguru
422,MUT,Meerut Cant
384,MYA,Mandya
424,MYM,Memari
354,MYR,Maihar
471,MYS,Mysore Junction
474,NBA,Nabha
550,NBH,Nimbahera
475,NBI,Nadbai
476,ND,Nadiad Junction
505,NDB,Nandurbar
506,NDL,Nandyal
544,NDLS,New Delhi
526,NDT,Nathdwara
480,NG,Nagari
477,NGAN,Nagaon
479,NGE,Nagar
485,NGG,Nagina
480,NGI,Nagari
502,NGN,Nandgaon
482,NGO,Nagaur
487,NGP,Nagpur
489,NHLN,Naharlagun
555,NHR,Nohar
561,NLP,North Lakhimpur
542,NLR,Nellore
498,NLV,Nalbari
500,NMKL,Namakkal
504,NN,Nandura
518,NNL,Narnaul
557,NOK,Nokha
543,NPNR,Nepanagar
512,NRT,Narasaraopet
524,NSD,Nasirabad
529,NTV,Nautanwa
531,NVS,Navsari
546,NYY,Neyyattinkara
554,NZB,Nizamabad
564,NZD,Nuzvid
544,NZM,H Nizamuddin
568,OGL,Ongole
544,OKA,Okhla
1133,ON,Unnao Junction
569,ORAI,Orai
571,OTP,Ottappalam
621,PAD,Pardi
678,PAP,Pithapuram
608,PAR,Pandhurna
645,PAV,Pedana
686,PBR,Porbandar
574,PC,Pachora Junction
695,PDKT,Pudukkottai
648,PEN,Pen
584,PGT,Palakkad
593,PIT,Palitana
659,PLC,Phalodi
458,PLG,Palghar
592,PLK,Palia Kalan
586,PLNI,Palani
664,PLP,Phulpur
544,PM,Palam
702,PMP,Pimpri
590,PMY,Pali Marwar
635,PNBE,Patna Junction
635,PNC,Patna Saheb
252,PNK,Panki
609,PNP,Panipat Junction
587,PNU,Palanpur Junction
458,PNVL,Panvel
579,POU,Padrauna
705,PP,Puranpur
674,PPI,Pipariya
615,PRDP,Paradip
633,PRI,Pathri
690,PRJ,Prantij
681,PRL,Polur
612,PRT,Panruti
634,PTA,Patiala
131,PTJ,Podanur Junction
631,PTK,Pathankot
636,PTRU,Patratu
624,PTU,Partur
766,PUL,Rampura Phul
702,PUNE,Pune Junction
706,PURI,Puri
665,PUS,Phusro
714,PUT,Puttur
700,PUU,Punalur
607,PVR,Pandharpur
597,PWL,Palwal
635,PWS,Phulwari Sharif
799,RAL,Repalle
778,RASP,Rasipuram
785,RAU,Rau
724,RCTC,Raghunathpur
719,RDHP,Radhanpur
811,RDL,Rudauli
802,RE,Rewari
801,REWA,Rewa
721,RFJ,Rafiganj
745,RGD,Rajgir
793,RGDA,Rayagada
727,RGJ,Raiganj
742,RHG,Rajgarh
728,RIG,Raigarh
635,RJPB,Rjndr Ngr Bihar
740,RJPM,Rajapalayam
737,RJR,Rajaldesar
809,RK,Roorkee
803,RKSH,Rishikesh
759,RMA,Ramganj Mandi
756,RMD,Ramanathapuram
755,RMGM,Ramanagaram
761,RMR,Ramnagar
764,RMU,Rampur
784,RN,Ratnagiri
771,RNC,Ranchi
775,RNR,Ranibennur
798,ROI,Reoti
814,RPAR,Rupnagar
724,RPR,Raghunathpur
726,RRI,Rahuri
779,RSR,Rasra
783,RTM,Ratlam Junction
787,RV,Raver
770,RWO,Ranavav
842,SA,Salem Junction
864,SAG,Sangrur
857,SAN,Sandila
880,SAP,Sattenapalle
884,SASR,Sausar
853,SAU,Sanand
82,SBC,Bangalore Cy Junction
848,SBP,Sambalpur
207,SC,Secunderabad Junction
976,SCC,Sitapur Cant
954,SCL,Silchar
283,SDAH,Sealdah
896,SDB,Shahabad
901,SDL,Shahdol
933,SDN,Sholavandan
912,SEG,Shegaon
891,SEH,Sehore
893,SEO,Seohara
894,SEY,Seoni
1013,SFM,Sunam
869,SFW,Sarangpur
907,SFY,Shajapur
989,SGD,Songadh
1008,SGG,Sultanganj
982,SGP,Sohagpur
861,SGRA,Sangaria
962,SGRL,Singrauli
955,SGUD,Siliguri
908,SGZ,Shamgarh
952,SILO,Silao
998,SINA,Srinagar
1006,SJNP,Sujanpur
939,SJP,Shujalpur
949,SKA,Sikandra Rao
840,SKT,Sakti
862,SLI,Sangli
1009,SLN,Sultanpur
975,SMI,Sitamarhi
844,SMK,Samalkha
909,SMQL,Shamli
998,SNAR,Srinagar
865,SNKL,Sankarankovil
990,SNP,Sonipat
838,SNT,Sainthia
985,SOL,Solan
992,SORO,Soro
976,SPC,Sitapur City
847,SPJ,Samastipur Junction
953,SPTR,Silapathar
828,SRE,Saharanpur
993,SRN,Soron
993,SRNK,Soron
970,SSA,Sirsa
544,SSB,Shakurbasti
874,SSM,Sasaram
1019,ST,Surat
879,STA,Satna
976,STP,Sitapur
877,STR,Satara
1005,SUJH,Sujangarh
978,SVGA,Sivaganga
702,SVJR,Sivajinagar
886,SVKD,Savarkundla
980,SVKS,Sivakasi
885,SVNR,Savanur
932,SVPI,Shivpuri
834,SWA,Sahjanwa
854,SWD,Sanawad
888,SWM,Sawai Madhopur
903,SZP,Shahjahanpur
120,TBM,Tambaram
1083,TCN,Tiruchendur
1074,TCR,Thrisur
1024,TDD,Tadepalligudem
1037,TDU,Tandur
1088,TEN,Tirunelveli
1106,TGP,Tuljapur
1099,TIG,Titlagarh
1093,TIR,Tirur
1060,TJ,Thanjavur
1108,TK,Tumkur
1078,TLH,Tilhar
1029,TLHR,Talcher
1107,TLR,Tulsipur
1079,TMV,Tindivanam
1035,TMZ,Tamluk
1057,TNA,Thane
1038,TNKU,Tanuku
1095,TNM,Tiruvannamalai
1085,TPJ,Tiruchchirapali
1085,TPTN,Tiruchrpali Twn
1091,TPTY,Tirupati
1082,TRO,Tirora
1042,TRR,Taraori
1094,TRT,Tiruttani
1081,TTR,Tiptur
1103,TUN,Tohana
1111,TUNI,Tuni
1092,TUP,Tiruppur
1134,UA,Upleta
1121,UD,Udupi
1117,UDGR,Udgir
1119,UHP,Udhampur
1131,UJA,Unjha
1122,UJH,Ujhani
1123,UJN,Ujjain Junction
1125,UMR,Umaria
1158,VAK,Varkala
1155,VAPI,Vapi
106,VBL,Bobbili
1168,VJF,Vijapur
1164,VKI,Venkatagiri
1175,VKN,Vinukonda
1154,VN,Vaniyambadi
458,VR,Virar
1165,VRL,Veraval
1185,VYA,Vyara
1188,WADI,Wadi
1191,WANI,Wani
1200,WHM,Washim
1194,WL,Warangal
1198,WRR,Warora
1209,YA,Yerraguntla
1202,YG,Yadgir
82,YNK,Yelhanka Junction
82,YPR,Yesvantpur Junction
227,ZN,Jangaon
1212,ZNA,Zamania
87,ZZZZ,Bhagalpur
